Number of Entrances,Landing Page Path,Second Page Path,Third Page Path,Exit Path
2033,/,(not set),/,/
172,/,/,/,/
1,/,/,/,/?esource=17028&zip=91602
1,/,/,/,/about-us/
3,/,/,/,/about-us/contact-us/
2,/,/,/,/about-us/leadership-team/
1,/,/,/,/about-us/partners/
1,/,/,/,/about-us/why-business-insurance-now/
7,/,/,/,/agentfinder/
1,/,/,/,/business-center/business-insurance/
1,/,/,/,/legal/licenses/
2,/,/,/,/login/
1,/,/,/,/login/existing-company.aspx?email=mharvey@ceccicontractor.com&password=bigdaddy
1,/,/,/,/portal/create-certificate-2.aspx
1,/,/,/,/portal2/bins
3,/,/,/,/portal2/bins/
2,/,/,/,/portal2/bins/Documents?showthankyou=True&faxpending=False
2,/,/,/,/portal2/bins/certificates
1,/,/,/,/portal2/bins/home/contactus
1,/,/,/,/portal2/bins/policies
5,/,/,/,/portal2/bins/quotes
1,/,/,/,/portal2/bins/quotes?processing=True&sistersite=False
2,/,/,/,/portal2/bins/quotes?qq=true
13,/,/,/,/portal2/bins/quotes?showthankyou=true&core=true
1,/,/,/,/products/
2,/,/,/,/quote/
1,/,/,/,/quote/?step=BusinessBasics
5,/,/,/,/quote/?step=ChooseYourPolicies
4,/,/,/,/quote/?step=ContactInformation
1,/,/,/,/quote/?step=Services
2,/,/,/,/quote/?step=YourAccount
6,/,/,/,/quote/?step=ZipCode
2,/,/,/,/quote/?step=ZipCode&mode=
1,/,/,/,/quote/GAHandler.aspx?action=new&WebBusClassId=10037&esource=10013
1,/,/,/,/quote/NaicsFinder.aspx?search=Land+Subdivision
1,/,/,/,/quote/NaicsFinder.aspx?search=babysitting
1,/,/,/,/quote/NaicsFinder.aspx?search=business+analyst
1,/,/,/,/quote/NaicsFinder.aspx?search=event+planning
1,/,/,/,/quote/NaicsFinder.aspx?search=garden
1,/,/,/,/quote/NaicsFinder.aspx?search=traffic
1,/,/,/,/quote/NetQuote.aspx?WebBusClassId=11033
3,/,/,/,/quote/NetQuote.aspx?WebBusClassId=9999001
1,/,/,/,/quote/QuickQuotes.aspx?WebBusClassId=13004
1,/,/,/,/quote/QuickQuotes.aspx?WebBusClassId=8003
1,/,/,/,/quote/QuickQuotes.aspx?WebBusClassId=9004
2,/,/,/,/quote/QuickQuotes.aspx?WebBusClassId=9999001
1,/,/,/,/quote/Tech.aspx?WebBusClassId=1001
2,/,/,/,/quote/Tech.aspx?WebBusClassId=4001
4,/,/,/,/quote/idealtimeout/
1,/,/,/,/quote/ion.aspx?WebBusClassId=15001
1,/,/,/,/quote/ion.aspx?WebBusClassId=19002
1,/,/,/,/quote/ion.aspx?WebBusClassId=4003
1,/,/,/,/quote/ion.aspx?WebBusClassId=7002
1,/,/,/,/restaurants/
2,/,/,/,/workers-compensation/
1,/,/?esource=17032&zip=33559,/,/?esource=17032&zip=33559
16,/,/about-us/,/,/
17,/,/about-us/,/,/about-us/
5,/,/about-us/,/,/about-us/contact-us/
3,/,/about-us/,/,/about-us/history/
8,/,/about-us/,/,/about-us/leadership-team/
2,/,/about-us/,/,/about-us/success-stories/
2,/,/about-us/,/,/blog/
1,/,/about-us/,/,/colorado-business-insurance/
1,/,/about-us/,/,/legal/privacy-policy/
1,/,/about-us/,/,/legal/terms-of-use/
1,/,/about-us/,/,/news/family-owned-businesses-ready-to-implement-growth-strategies-1064/
1,/,/about-us/,/,/portal2/bins/Documents/InitiateSign/25172
1,/,/about-us/,/,/portal2/bins/quotes?qq=true
1,/,/about-us/,/,/portal2/bins/quotes?showthankyou=true&core=true
1,/,/about-us/,/,/professional-liability/
2,/,/about-us/,/,/quote/?step=ChooseYourPolicies
1,/,/about-us/,/,/quote/Tech.aspx?WebBusClassId=1001
5,/,/about-us/contact-us/,/,/
